0.00	 1.000
0.102	 0.90
0.195	 0.77
0.195	 0.76
0.257	 0.65
0.305	 0.55
0.305	 0.55
0.305	 0.57
0.421	 0.38
0.421	 0.38
0.421	 0.38
0.482	 0.31
0.482	 0.31
0.509	 0.27
0.537	 0.23
0.609	 0.16
0.654	 0.16
0.654	 0.15
0.713	 0.12
0.771	 0.07
0.771	 0.10
0.889	 0.03
